,Actual_Points,sdPts
58,12.1,2.0
97,17.7,2.2
120,9.7,2.1
122,9.3,2.6
127,6.2,2.0
142,11.1,3.2
177,9.4,0.7
194,13.9,1.1
205,10.8,1.2
216,10.9,0.8
232,7.8,0.7
236,3.9,1.0
238,14.7,0.3
248,8.6,1.3
249,14.9,0.7
250,3.2,0.8
260,7.0,0.2
276,4.0,0.5
312,4.9,0.5
346,3.2,0.5
407,7.6,0.4
492,5.3,0.0

32,5.1,1.1
48,13.9,2.1
112,8.2,1.4
114,17.3,1.3
147,4.6,1.4
149,3.5,1.7
159,8.3,0.9
165,12.2,0.6
171,8.2,2.1
189,9.6,1.9
190,5.0,1.0
193,4.2,1.0
221,6.9,0.8
229,10.6,1.1
234,11.6,1.3
252,12.7,1.2
293,12.1,0.7
314,6.0,0.4
321,3.4,0.9
322,3.3,0.4
355,10.1,0.3
392,7.2,0.3
472,18.9,0.2

44,22.7,1.4
75,5.4,1.6
81,3.3,1.8
84,21.3,1.6
97,10.9,1.6
126,14.3,2.0
144,12.9,1.7
175,8.9,1.4
181,20.3,0.8
184,7.9,1.8
186,8.0,1.8
208,16.1,0.7
209,5.3,1.3
210,3.7,0.8
229,7.7,0.9
241,5.4,0.9
245,4.7,1.5
252,5.7,1.0
266,6.7,0.8
272,6.7,1.1
288,6.3,0.9
297,4.3,0.5
308,15.2,0.3
325,4.3,0.5
347,3.1,1.3
397,3.2,0.4
429,9.9,0.1
438,6.6,0.1

48,19.2,1.2
78,3.4,1.9
86,23.4,1.5
105,10.1,1.5
123,14.8,2.0
131,11.6,2.1
148,3.1,2.2
151,11.6,1.3
161,19.4,0.8
178,7.3,1.7
215,3.5,0.8
216,4.0,0.7
217,3.6,0.8
226,9.5,0.8
233,8.6,1.2
240,5.4,0.3
249,16.9,1.3
254,5.8,0.9
277,15.4,0.8
294,4.1,0.5
296,16.4,0.4
299,7.7,0.6
307,4.7,0.9
319,4.0,0.7
324,4.3,0.6
336,6.2,0.6
374,3.5,0.6
378,3.4,0.4
397,7.7,0.4
409,5.5,0.4

55,10.9,1.8
101,7.4,1.9
122,6.7,2.0
134,7.4,1.9
140,13.0,2.0
151,11.6,1.3
168,8.5,2.1
185,9.6,0.6
190,16.0,0.5
221,3.3,0.9
239,12.4,0.9
245,21.6,3.3
255,11.4,1.0
275,7.2,1.0
283,13.7,0.9
289,3.7,0.9
291,14.7,0.6
304,12.4,0.8
329,4.2,0.4
342,7.0,0.8
344,10.0,0.9

54,23.3,1.2
69,7.6,2.1
102,14.6,1.9
131,4.3,2.3
132,10.2,1.9
137,14.1,2.0
150,8.2,1.8
161,22.1,1.8
165,6.7,1.7
197,9.5,1.9
224,11.8,0.8
228,9.3,0.3
237,6.9,0.7
243,13.8,0.9
251,8.7,1.1
290,7.2,0.8
293,7.5,0.8
294,4.2,0.5
297,8.5,0.9
326,9.1,0.7
328,15.7,0.6
336,5.6,0.6
346,11.9,0.4
362,6.0,0.6
400,4.3,0.4
437,3.6,0.1
453,4.4,0.2

37,15.2,1.1
73,12.7,1.9
90,12.6,1.8
114,4.2,1.7
121,6.8,2.0
135,4.8,2.1
156,6.6,1.7
162,5.7,2.2
170,16.8,1.9
192,6.4,0.3
211,11.2,0.7
222,17.1,0.7
225,3.3,1.0
251,4.1,0.4
269,7.2,1.0
280,11.7,0.7
317,5.6,0.8
329,5.4,0.3
347,8.0,0.8
351,3.6,0.8
361,5.1,0.6
387,6.6,0.5
397,7.6,0.6
406,3.6,0.4
440,3.6,0.3
485,4.0,0.1
531,4.0,0.2

27,12.5,0.9
108,8.0,1.9
124,7.5,1.6
127,7.5,1.5
138,6.9,2.0
140,6.9,2.0
141,6.9,2.1
166,6.1,1.8
169,6.0,1.5
175,5.8,1.7
182,5.7,0.9
189,5.6,0.4
201,5.2,2.1
203,5.2,2.4
211,4.9,1.5
226,4.4,0.9
227,4.4,1.0
239,4.1,0.6
249,3.8,0.9
253,3.7,0.5
254,3.7,0.7
256,3.6,0.7
259,3.5,0.7
269,3.3,0.9
276,3.1,1.1

95,9.9,1.4
103,10.4,2.0
110,10.8,2.1
169,3.5,2.5
180,14.9,2.3
183,5.7,0.8
202,8.8,2.1
205,11.1,1.8
231,15.3,2.3
250,5.0,2.2
263,8.4,2.7
327,5.6,1.7
347,4.0,1.9
367,13.1,2.2
410,3.1,2.6
442,8.5,0.6
501,8.1,1.0
509,9.5,1.1
515,4.5,0.9
537,4.8,1.3
577,8.0,1.3
640,3.6,0.9
694,17.0,1.5
767,6.1,0.6
829,5.8,0.5
851,6.9,1.1
892,5.4,1.0
1089,6.9,0.4
1222,21.2,0.1

99,9.5,1.4
108,20.7,1.4
127,9.0,1.5
141,17.3,1.1
143,5.7,1.7
169,5.9,1.7
190,9.1,1.2
233,3.9,1.3
252,5.3,1.5
263,6.6,1.2
314,14.0,1.5
315,7.3,1.3
336,10.4,1.7
337,10.6,2.0
339,19.9,1.9
340,5.2,0.8
354,14.7,3.1
415,5.7,0.7
417,3.5,1.7
447,4.4,1.2
464,5.1,0.9
483,13.4,1.1
490,6.1,1.5
493,16.0,0.7
494,14.0,0.8
521,3.1,0.9
531,3.5,1.0
532,9.6,4.5
550,5.7,2.2
600,8.1,0.5
663,7.6,2.2
677,5.1,1.1
693,5.0,1.4
730,13.4,1.4
775,8.7,0.6
787,9.9,0.6
907,4.4,0.7
1022,3.9,0.7
1041,3.1,0.6
1227,15.8,0.1

97,7.6,1.7
157,9.4,2.2
187,11.1,2.1
194,17.9,0.4
232,20.4,1.6
252,3.5,0.8
289,5.0,1.8
307,17.0,2.8
312,3.7,1.5
355,4.3,1.5
356,7.2,2.5
363,8.1,1.9
369,23.8,1.3
376,16.5,1.0
379,9.4,1.3
421,9.5,1.8
469,19.1,1.1
529,7.9,0.8
539,7.6,2.2
682,4.1,1.3
707,9.2,0.8
753,4.0,0.9
764,3.5,0.4
777,3.4,1.0
785,6.6,0.4
914,7.4,0.9
1060,24.6,0.4

79,23.8,1.9
94,18.6,1.7
125,10.8,2.0
171,10.6,2.1
178,3.4,2.3
193,14.1,2.8
199,6.2,2.7
207,9.2,1.7
234,3.2,3.1
237,4.4,0.8
249,8.5,2.2
254,14.0,1.8
290,7.3,2.1
294,8.2,1.0
297,13.4,2.5
318,14.3,0.8
351,9.2,1.8
386,7.2,1.2
410,3.3,0.9
468,6.9,2.1
587,6.5,1.7
595,10.4,1.5
602,6.3,0.7
622,7.7,0.6
794,10.7,0.4
903,12.8,0.6
1131,12.4,0.1

85,9.3,2.1
89,22.6,1.6
125,13.4,2.6
128,15.1,1.6
164,5.2,1.8
177,4.3,2.0
178,27.7,1.0
184,10.1,2.1
206,10.8,2.6
264,5.8,0.9
284,13.3,1.5
306,14.0,1.6
324,9.0,1.6
332,9.4,2.1
372,9.8,0.9
406,4.7,0.8
426,14.9,1.7
500,6.8,1.9
583,3.4,0.8
652,10.8,1.4
676,4.4,1.7
818,8.1,0.9
995,3.7,0.6
1082,32.0,0.2

65,12.4,1.8
95,25.7,2.2
116,4.7,2.2
136,11.9,2.1
166,7.4,2.4
184,7.3,2.0
195,6.6,2.5
205,6.6,2.4
209,22.6,1.4
212,3.8,2.5
257,17.3,3.0
318,12.0,1.7
327,6.2,1.2
334,7.7,1.2
441,4.6,2.1
478,3.6,1.2
487,3.5,1.0
521,3.5,1.0
533,11.9,1.0
549,6.4,2.0
560,13.3,0.6
569,17.5,2.7
729,8.0,2.9
746,9.8,1.0
830,4.6,0.9
854,14.4,0.9
882,9.6,0.6
961,9.3,0.3
1008,33.3,0.1
1038,3.5,0.2

51,17.3,2.3
118,3.4,1.7
